 Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth,Catalog
-2150,,,,31.1,35.5,7.3,,NOAA 
-2000,  ,  ,         ,38.0,58.2,7.1,18,NOAA 
-400,  ,  ,         ,35.5,51.8,7.6,   ,NOAA 
-31,9,2,         ,32,35.5,7,   ,NOAA 
10,  ,  ,         ,38,58.3,7.1,18,NOAA 
17,  ,  ,         ,37.9,27.3,7.5,   ,NOAA 
180,9,  ,         ,39.4,99.5,7.5,   ,NOAA 
528,11,29,         ,36,36,7.5,   ,NOAA 
555,8,15,         ,41,29.5,7.5,   ,NOAA 
648,11,29,         ,33.8,134.2,8.3,   ,NOAA 
745,6,5,         ,35.4,136.8,7.9,   ,NOAA 
746,1,18,         ,32,35.5,7,   ,NOAA 
765,  ,  ,         ,35.2,60.4,7.6,25,NOAA 
818,5,15,         ,36.8,66.2,7.5,50,NOAA 
818,8,10,         ,35.1,139.4,7.9,   ,NOAA 
869,7,13,         ,38.5,143.6,8.6,   ,NOAA 
887,8,26,         ,34.6,135.1,8.6,   ,NOAA 
943,8,20,         ,38,58.3,7.6,18,NOAA 
958,2,23,         ,36,51.1,7.7,   ,NOAA 
1038,1,9,         ,38.4,112.9,7.2,   ,NOAA 
1042,11,4,1330,38.2,46.3,7.6,15,NOAA 
1096,12,17,         ,34.2,137.3,8.3,   ,NOAA 
1175,  ,  ,         ,37.5,65.5,7.1,15,NOAA 
1208,7,16,         ,42,60,7.6,10,NOAA 
1336,10,21,130,34.5,59.6,7.6,   ,NOAA 
1361,8,3,         ,33.4,135,8.3,   ,NOAA 
1389,2,  ,130,36.2,58.8,7.6,10,NOAA 
1458,11,8,         ,39.9,40.4,7.5,   ,NOAA 
1471,  ,  ,         ,-16.299,-71,8,25,NOAA 
1482,  ,  ,         ,39.9,40.4,7.5,   ,NOAA 
1483,2,18,         ,24.9,57.9,7.7,   ,NOAA 
1498,9,20,         ,35,138,8.6,   ,NOAA 
1513,  ,  ,         ,-17.2,-72.3,8.7,30,NOAA 
1515,6,17,         ,26.6,100.8,7.5,   ,NOAA 
1546,1,14,         ,32,35.5,7,   ,NOAA 
1552,7,2,1030,-16.6,-71.3,7.6,30,NOAA 
1555,11,15,         ,-11.9,-77.6,8.3,30,NOAA 
1556,10,17,         ,-0.2,-78.6,7.6,   ,NOAA 
1566,  ,  ,         ,3,-77.3,7.8,   ,NOAA 
1570,2,8,13,-36.8,-73,8.3,   ,NOAA 
1575,9,8,         ,-0.2,-78.6,7.8,   ,NOAA 
1575,12,16,20,-39.5,-73.1,8.5,   ,NOAA 
1581,  ,  ,         ,-12.4,-77.7,7.6,30,NOAA 
1582,1,22,1630,-16.6,-71.6,8.2,30,NOAA 
1584,3,17,         ,-11.8,-77.8,8.3,30,NOAA 
1586,7,9,30,-12.5,-77,8.6,40,NOAA 
1587,9,4,1,-0.2,-78.5,7.7,   ,NOAA 
1590,  ,  ,         ,-17.2,-72.9,8.2,40,NOAA 
1600,2,28,20,-16.6,-70.8,8.2,20,NOAA 
1604,11,24,1630,-18.5,-70.4,8.5,30,NOAA 
1604,12,29,         ,25,119.5,8,   ,NOAA 
1605,1,31,         ,33.4,133.3,7.9,   ,NOAA 
1605,7,13,         ,19.9,110.5,8,   ,NOAA 
1609,10,20,1,-11.9,-77.4,8.6,40,NOAA 
1610,2,3,20,8.3,-71.9,7.9,30,NOAA 
1611,12,2,         ,39,143,8.1,   ,NOAA 
1614,11,26,         ,37.5,138,7.7,   ,NOAA 
1615,9,16,         ,-18.2,-71,8.8,40,NOAA 
1616,9,9,         ,38.1,142,7,   ,NOAA 
1619,2,14,1630,-7.9,-79,8.6,40,NOAA 
1622,10,25,         ,36.5,106.3,7,   ,NOAA 
1630,11,27,1630,-12.2,-77.5,8.1,30,NOAA 
1641,1,10,         ,-1.5,-78.5,7.6,   ,NOAA 
1644,1,16,11,7.5,-72.5,7,   ,NOAA 
1645,2,19,         ,-1.7,-78.6,7.5,   ,NOAA 
1645,11,30,20,14.4,121,7.5,   ,NOAA 
1646,6,9,         ,37.7,141.7,7.6,   ,NOAA 
1647,5,13,         ,-14,-76.5,7.9,40,NOAA 
1647,5,14,330,-35,-72,8.5,   ,NOAA 
1650,3,31,19,-13.5,-72,8.1,30,NOAA 
1653,2,23,         ,38.2,28.2,7.5,   ,NOAA 
1655,11,13,1938,-12,-77,8.8,30,NOAA 
1657,3,16,1,-37,-74,8,   ,NOAA 
1658,2,14,         ,-8.2,-80.1,7.7,40,NOAA 
1660,10,27,14,-0.2,-78.5,7.7,   ,NOAA 
1664,5,12,930,-15,-75,7.3,15,NOAA 
1674,8,29,         ,-1.7,-79,7.7,   ,NOAA 
1677,4,13,         ,38.7,144,8.1,   ,NOAA 
1677,11,4,         ,36.6,141.5,7.4,   ,NOAA 
1678,6,18,145,-12.3,-77.8,8.3,40,NOAA 
1678,10,2,         ,38.6,142,7.4,   ,NOAA 
1681,3,10,         ,-18.5,-70.4,7.3,   ,NOAA 
1687,10,20,1030,-13.2,-76.5,9,30,NOAA 
1687,11,22,         ,-1.3,-78.6,7.3,   ,NOAA 
1688,7,10,         ,38.4,27.1,7.5,   ,NOAA 
1690,4,  ,         ,17.2,-62.4,8,33,NOAA 
1691,  ,  ,         ,18.3,-70.4,7.7,33,NOAA 
1692,9,13,11,-25.4,-64.8,7,   ,NOAA 
1695,5,18,         ,36,111.5,8,   ,NOAA 
1697,2,25,         ,16.7,-99.2,7.8,   ,NOAA 
1698,6,20,6,-1.2,-78.7,7.7,   ,NOAA 
1699,7,14,9,-11.8,-77.5,7.8,40,NOAA 
1703,12,30,17,35,140,8.2,   ,NOAA 
1707,10,28,4,32.5,136,8.3,   ,NOAA 
1715,8,23,         ,-16.8,-71.5,7.9,80,NOAA 
1716,  ,  ,         ,41.2,80.3,7.5,30,NOAA 
1716,2,6,         ,-17.2,-71.2,8.8,40,NOAA 
1716,2,11,1,-13.7,-76,8.6,50,NOAA 
1716,6,19,         ,35,105.2,7.5,   ,NOAA 
1717,5,13,         ,39,142.7,7.6,   ,NOAA 
1721,4,26,230,37.9,46.7,7.7,   ,NOAA 
1725,1,7,425,-9,-79,7.6,40,NOAA 
1725,2,1,11,56.5,118.5,8.2,50,NOAA 
1730,  ,  ,2215,-33,-71.4,8.5,   ,NOAA 
